[63.95412826538086, 0]
[75.5821533203125, 208]
[127.90825653076172, 381]
[133.72227478027344, 552]
[110.46622467041016, 724]
[122.09424591064453, 897]
[0.0, 1069]
[0.0, 1240]
[0.0, 1413]
[0.0, 1586]
[0.0, 1757]
[0.0, 1927]
[69.76814270019531, 2099]
[81.39616394042969, 2273]
[75.5821533203125, 2443]
[0.0, 2616]
[0.0, 2789]
[0.0, 2966]
[0.0, 3132]
[0.0, 3303]
[75.5821533203125, 3476]
[81.39616394042969, 3648]
[69.76814270019531, 3820]
[0.0, 3993]
[0.0, 4163]
[0.0, 4337]
[0.0, 4509]
[52.32610321044922, 4680]
[75.5821533203125, 4853]
[81.39616394042969, 5025]
[58.14011764526367, 5195]
[0.0, 5368]
[0.0, 5541]
[0.0, 5713]
[0.0, 5884]
[0.0, 6056]
[0.0, 6227]
[0.0, 6400]
[0.0, 6572]
[0.0, 6743]
[0.0, 6917]
[0.0, 7089]
[0.0, 7260]
[0.0, 7434]
[110.46622467041016, 7604]
[0.0, 7775]
[0.0, 7947]
[0.0, 8121]
[0.0, 8293]
[133.72227478027344, 8469]
[0.0, 8636]
[0.0, 8808]
[0.0, 8980]
